name,address,lat,long,description,State,Market City,Frequency,Format,Tower,Slogan,Avails,Spot Rate,Transmitter Location,unnamed (1),Location
WXLW,"VQ24+H6G Indianapolis, Indiana",39.8514375,-86.2444219,"State: IN<br>Market City: Indianapolis<br>Frequency: 950 AM<br>Format: Talk<br>Tower: VQ24+H6G Indianapolis, Indiana<br>Slogan: ""Freedom 950""<br>Avails: 6am - 7pm <br>2/hr<br>Spot Rate: $20.00 ",<value>IN</value>,<value>Indianapolis</value>,<value>950 AM</value>,<value>Talk</value>,"<value>VQ24+H6G Indianapolis, Indiana</value>","<value>""Freedom 950""</value>","<value>6am - 7pm 
2/hr</value>",<value>$20.00 </value>,,,
WYYC,"X8X4+H2V Woodstream, Pennsylvania",39.9989875,-76.6949531,"State: PA<br>Market City: York<br>Frequency: 98.1 FM<br>1250 AM<br>Format: Religious<br>Tower: X8X4+H2V Woodstream, Pennsylvania<br>Slogan: ""Radio That Changes the Way You Live""<br>Avails: 6A-7P 2/HR.<br>Spot Rate: $30.00 ",<value>PA</value>,<value>York</value>,"<value>98.1 FM
1250 AM</value>",<value>Religious</value>,"<value>X8X4+H2V Woodstream, Pennsylvania</value>","<value>""Radio That Changes the Way You Live""</value>",<value>6A-7P 2/HR.</value>,<value>$30.00 </value>,,,
WZTC (ROS!!!),"Q8G8+MC7 Elmwood Charter Twp, Michigan",44.7766625,-85.6839531,"State: MI<br>Market City: Traverse City<br>Frequency: 104.5 FM<br>Format: Bob FM<br>Tower: Q8G8+MC7 Elmwood Charter Twp, Michigan<br>Slogan: ""Bob FM""<br>Avails: M-F<br>6A - 10A<br>3P - 7P<br>Spot Rate: $32 ",<value>MI</value>,<value>Traverse City</value>,<value>104.5 FM</value>,<value>Bob FM</value>,"<value>Q8G8+MC7 Elmwood Charter Twp, Michigan</value>","<value>""Bob FM""</value>","<value>M-F
6A - 10A
3P - 7P</value>",<value>$32 </value>,,,
WWKR (Non Contracted),"MQG6+CCV Elbridge, Michigan",43.6761125,-86.2389531,"State: MI<br>Market City: Hart, MI<br>Frequency: 94.1 FM<br>Format: Classic Rock<br>Tower: MQG6+CCV Elbridge, Michigan<br>Slogan: ""94 K-Rock""<br>Avails: 6A-7P<br>Spot Rate: $15/30sec<br>$18/60sec",<value>MI</value>,"<value>Hart, MI</value>",<value>94.1 FM</value>,<value>Classic Rock</value>,"<value>MQG6+CCV Elbridge, Michigan</value>","<value>""94 K-Rock""</value>",<value>6A-7P</value>,"<value>$15/30sec
$18/60sec</value>",,,
WKZC (Non Contracted),"3H5M+2G3 Pere Marquette Charter Twp, Michigan",44.0575125,-86.4162031,"State: MI<br>Market City: Scottville, MI<br>Frequency: 94.9 FM<br>Format: Mainstream Country<br>Tower: 3H5M+2G3 Pere Marquette Charter Twp, Michigan<br>Slogan: Big Dog 94.9""<br>Avails: 6A-7P<br>Spot Rate: $15/30sec<br>$18/60sec",<value>MI</value>,"<value>Scottville, MI</value>",<value>94.9 FM</value>,<value>Mainstream Country</value>,"<value>3H5M+2G3 Pere Marquette Charter Twp, Michigan</value>","<value>Big Dog 94.9""</value>",<value>6A-7P</value>,"<value>$15/30sec
$18/60sec</value>",,,
WKLA (Non Contracted),"WH87+Q8C Pere Marquette Charter Twp, Michigan",43.9169375,-86.4367344,"State: MI<br>Market City: Ludington, MI<br>Frequency: 96.3 FM, 92.7 FM, 1450 AM<br>Format: Top 40<br>Tower: WH87+Q8C Pere Marquette Charter Twp, Michigan<br>Slogan: ""Hits 96 KLA""<br>Avails: 6A-7P<br>Spot Rate: $15/30sec<br>$18/60sec",<value>MI</value>,"<value>Ludington, MI</value>","<value>96.3 FM, 92.7 FM, 1450 AM</value>",<value>Top 40</value>,"<value>WH87+Q8C Pere Marquette Charter Twp, Michigan</value>","<value>""Hits 96 KLA""</value>",<value>6A-7P</value>,"<value>$15/30sec
$18/60sec</value>",,,
WLDN & WMLQ (Non Contracted),"6P62+CPX Filer Charter Twp, Michigan",44.2111125,-86.2981406,"State: MI<br>Market City: Ludington, MI<br>Frequency: 98.7 FM, 97.7 FM<br>Format: News<br>Tower: 6P62+CPX Filer Charter Twp, Michigan<br>Slogan: ""News 98""<br>Avails: 6A-7P<br>Spot Rate: $15/30sec<br>$18/60sec",<value>MI</value>,"<value>Ludington, MI</value>","<value>98.7 FM, 97.7 FM</value>",<value>News</value>,"<value>6P62+CPX Filer Charter Twp, Michigan</value>","<value>""News 98""</value>",<value>6A-7P</value>,"<value>$15/30sec
$18/60sec</value>",,,
WQHH (Non Contracted),"R8XJ+QVX Watertown Twp, Michigan",42.8494875,-84.6677656,"State: MI<br>Market City: Dewitt<br>Frequency: 96.5 FM<br>Format: Hip-Hop<br>Tower: R8XJ+QVX Watertown Twp, Michigan<br>Slogan: ""Power 96.5""<br>Avails: 6-7P<br>Spot Rate: $25.00 ",<value>MI</value>,<value>Dewitt</value>,<value>96.5 FM</value>,<value>Hip-Hop</value>,"<value>R8XJ+QVX Watertown Twp, Michigan</value>","<value>""Power 96.5""</value>",<value>6-7P</value>,<value>$25.00 </value>,,,
KADL,"G964+X5R Imperial, Nebraska",40.5124875,-101.6446094,"State: NE<br>Market City: Imperial<br>Frequency: 102.9 FM<br>Format: Adult Hits<br>Tower: G964+X5R Imperial, Nebraska<br>Slogan: ""Jack 102.9""<br>Avails: 6A-7P, 4/hr<br>Spot Rate: $7.00 ",<value>NE</value>,<value>Imperial</value>,<value>102.9 FM</value>,<value>Adult Hits</value>,"<value>G964+X5R Imperial, Nebraska</value>","<value>""Jack 102.9""</value>","<value>6A-7P, 4/hr</value>",<value>$7.00 </value>,,,
KARX,"33PP+9F4 Amarillo, Texas",35.0858875,-101.9137969,"State: TX<br>Market City: Canyon<br>Frequency: 95.7 FM, 107.1 FM<br>Format: Country<br>Tower: 33PP+9F4 Amarillo, Texas<br>Slogan: ""107 Nash Icon""<br>Avails: 6A-7P 2HR<br>Spot Rate: $15.00 ",<value>TX</value>,<value>Canyon</value>,"<value>95.7 FM, 107.1 FM</value>",<value>Country</value>,"<value>33PP+9F4 Amarillo, Texas</value>","<value>""107 Nash Icon""</value>",<value>6A-7P 2HR</value>,<value>$15.00 </value>,,,
KAYT,"HC8X+5WQ Dry Prong, Louisiana",31.5654625,-92.5501406,"State: LA<br>Market City: Greenwood-Monroe-LakeCharles<br>Frequency: 88.1 FM<br>92.5 FM<br>98.9 FM<br>100.1 FM<br>Format: Christian<br>Tower: HC8X+5WQ Dry Prong, Louisiana<br>Slogan: ""The Heart and Soul of Central Louisiana""<br>Avails: 6A-7P 2/HR.<br>Spot Rate: $12.00 ",<value>LA</value>,<value>Greenwood-Monroe-LakeCharles</value>,"<value>88.1 FM
92.5 FM
98.9 FM
100.1 FM</value>",<value>Christian</value>,"<value>HC8X+5WQ Dry Prong, Louisiana</value>","<value>""The Heart and Soul of Central Louisiana""</value>",<value>6A-7P 2/HR.</value>,<value>$12.00 </value>,,,
KAYV,"W23G+4J5 Mt Crested Butte, Colorado",38.9027625,-106.9733906,"State: CO<br>Market City: Crested Butte<br>Frequency: 97.1 FM<br>Format: Rock<br>Tower: W23G+4J5 Mt Crested Butte, Colorado<br>Slogan: ""The Cave""<br>Avails: 6A-7P Unlimited<br>Spot Rate: $15.00 ",<value>CO</value>,<value>Crested Butte</value>,<value>97.1 FM</value>,<value>Rock</value>,"<value>W23G+4J5 Mt Crested Butte, Colorado</value>","<value>""The Cave""</value>",<value>6A-7P Unlimited</value>,<value>$15.00 </value>,,,
KBDT (NO PMs),"58GF+R6C Paradise, Texas",33.1770625,-97.6769844,"State: TX<br>Market City: Dallas<br>Frequency: 1160 AM<br>Format: Talk<br>Tower: 58GF+R6C Paradise, Texas<br>Slogan: ""Radio Saigon Dallas""<br>Avails: M-F<br>9A-2P<br>Spot Rate: $14.00 ",<value>TX</value>,<value>Dallas</value>,<value>1160 AM</value>,<value>Talk</value>,"<value>58GF+R6C Paradise, Texas</value>","<value>""Radio Saigon Dallas""</value>","<value>M-F
9A-2P</value>",<value>$14.00 </value>,,,
KBKG,"CC28+23F Corning, Arkansas",36.4000625,-90.5848281,"State: AR<br>Market City: Corning<br>Frequency: 93.5 FM<br>Format: Classic Hits<br>Tower: CC28+23F Corning, Arkansas<br>Slogan: ""More Music 93.5""<br>Avails: 6am - 7pm <br>2/hr<br>Spot Rate: $5.00 ",<value>AR</value>,<value>Corning</value>,<value>93.5 FM</value>,<value>Classic Hits</value>,"<value>CC28+23F Corning, Arkansas</value>","<value>""More Music 93.5""</value>","<value>6am - 7pm 
2/hr</value>",<value>$5.00 </value>,,,
KBRL,"58RX+Q5C McCook, Nebraska",40.1919375,-100.6521094,"State: NE<br>Market City: McCook<br>Frequency: 97.5 FM<br>1300 AM<br>Format: News/Talk<br>Tower: 58RX+Q5C McCook, Nebraska<br>Slogan: ""The Big Talker""<br>Avails: 6A-7P, 4/hr<br>Spot Rate: $7.00 ",<value>NE</value>,<value>McCook</value>,"<value>97.5 FM
1300 AM</value>",<value>News/Talk</value>,"<value>58RX+Q5C McCook, Nebraska</value>","<value>""The Big Talker""</value>","<value>6A-7P, 4/hr</value>",<value>$7.00 </value>,,,
KCAA,"XRQ7+Q6J Redlands, California",33.9894625,-117.1869844,"State: CA<br>Market City: Loma Linda<br>Frequency: 1050, 102.3, 106.5<br>Format: Talk - Liberal Talk<br>Tower: XRQ7+Q6J Redlands, California<br>Slogan: ""The Station that Leaves No Listener Behind""<br>Avails: 6A-7P 2/Hour<br>Spot Rate: $25.00 ",<value>CA</value>,<value>Loma Linda</value>,"<value>1050, 102.3, 106.5</value>",<value>Talk - Liberal Talk</value>,"<value>XRQ7+Q6J Redlands, California</value>","<value>""The Station that Leaves No Listener Behind""</value>",<value>6A-7P 2/Hour</value>,<value>$25.00 </value>,,,
KCHL,"CH7P+34R San Antonio, Texas",29.4127375,-98.4147344,"State: TX<br>Market City: San Antonio<br>Frequency: 1480 AM<br>92.1 FM<br>Format: Gospel<br>Tower: CH7P+34R San Antonio, Texas<br>Slogan: ""Gospel 1480 - Home of Praise""<br>Avails: 6am - 7pm <br>2/hr<br>Spot Rate: $15.00 ",<value>TX</value>,<value>San Antonio</value>,"<value>1480 AM
92.1 FM</value>",<value>Gospel</value>,"<value>CH7P+34R San Antonio, Texas</value>","<value>""Gospel 1480 - Home of Praise""</value>","<value>6am - 7pm 
2/hr</value>",<value>$15.00 </value>,,,
KCKM-AM,"JXWX+99P Monahans, Texas",31.6459625,-103.0015469,"State: TX<br>Market City: Monahans<br>Frequency: 1330<br>Format: Classic Country<br>Tower: JXWX+99P Monahans, Texas<br>Slogan: ""Classic Country""<br>Avails: 6A-7P 2/HR.<br>Spot Rate: $15.00 ",<value>TX</value>,<value>Monahans</value>,<value>1330</value>,<value>Classic Country</value>,"<value>JXWX+99P Monahans, Texas</value>","<value>""Classic Country""</value>",<value>6A-7P 2/HR.</value>,<value>$15.00 </value>,,,
KCLV-FM,"9RQ7+9M8 Clovis, New Mexico",34.3884125,-103.1857969,"State: NM<br>Market City: Clovis<br>Frequency: 99.1<br>Format: Country<br>Tower: 9RQ7+9M8 Clovis, New Mexico<br>Slogan: ""Country 99""<br>Avails: 6A-7P 2/HR.<br>Spot Rate: $7.50 ",<value>NM</value>,<value>Clovis</value>,<value>99.1</value>,<value>Country</value>,"<value>9RQ7+9M8 Clovis, New Mexico</value>","<value>""Country 99""</value>",<value>6A-7P 2/HR.</value>,<value>$7.50 </value>,,,
KCNW,"38C8+QQH Kansas City, Kansas",39.0719375,-94.6830156,"State: MO<br>Market City: Kansas City<br>Frequency: 96.1 FM<br>1380 AM<br>Format: Religious<br>Tower: 38C8+QQH Kansas City, Kansas<br>Slogan: ""Radio That Changes the Way You Live""<br>Avails: 6A-7P 2/HR.<br>Spot Rate: $30.00 ",<value>MO</value>,<value>Kansas City</value>,"<value>96.1 FM
1380 AM</value>",<value>Religious</value>,"<value>38C8+QQH Kansas City, Kansas</value>","<value>""Radio That Changes the Way You Live""</value>",<value>6A-7P 2/HR.</value>,<value>$30.00 </value>,,,
KCTE,"3HC2+64G Independence, Missouri",39.0705625,-94.4496719,"State: MO<br>Market City: Independence<br>Frequency: 1510AM<br>Format: Sports<br>Tower: 3HC2+64G Independence, Missouri<br>Slogan: ""ESPN 1510""<br>Avails: 6A-7P 2HR<br>Spot Rate: $25.00 ",<value>MO</value>,<value>Independence</value>,<value>1510AM</value>,<value>Sports</value>,"<value>3HC2+64G Independence, Missouri</value>","<value>""ESPN 1510""</value>",<value>6A-7P 2HR</value>,<value>$25.00 </value>,,,
KERI,"922R+QC6 Bakersfield, California",35.3519125,-118.9589844,"State: CA<br>Market City: Bakersfield<br>Frequency: 1410 AM<br>Format: Religious<br>Tower: 922R+QC6 Bakersfield, California<br>Slogan: ""Radio That Changes the Way You Live""<br>Avails: 6A-7P 2/HR.<br>Spot Rate: $30.00 ",<value>CA</value>,<value>Bakersfield</value>,<value>1410 AM</value>,<value>Religious</value>,"<value>922R+QC6 Bakersfield, California</value>","<value>""Radio That Changes the Way You Live""</value>",<value>6A-7P 2/HR.</value>,<value>$30.00 </value>,,,
KFIT,"773V+G4C Austin, Texas",30.2538125,-97.7072344,"State: TX<br>Market City: Austin<br>Frequency: 1060 AM<br>103.9 FM<br>Format: Gospel<br>Tower: 773V+G4C Austin, Texas<br>Slogan: ""96.3 Jack FM""<br>Avails: 6am - 7pm <br>2/hr<br>Spot Rate: $15.00 ",<value>TX</value>,<value>Austin</value>,"<value>1060 AM
103.9 FM</value>",<value>Gospel</value>,"<value>773V+G4C Austin, Texas</value>","<value>""96.3 Jack FM""</value>","<value>6am - 7pm 
2/hr</value>",<value>$15.00 </value>,,,
KFNX,"Q2X5+43C Desert View Village, Phoenix, AZ",33.7978125,-111.9923594,"State: AZ<br>Market City: CAVE CREEK<br>Frequency: 1100AM<br>Format: Talk<br>Tower: Q2X5+43C Desert View Village, Phoenix, AZ<br>Slogan: ""The Pulse of Arizona""<br>Avails: 6A-7P, 2/HR<br>Spot Rate: $10.00 ",<value>AZ</value>,<value>CAVE CREEK</value>,<value>1100AM</value>,<value>Talk</value>,"<value>Q2X5+43C Desert View Village, Phoenix, AZ</value>","<value>""The Pulse of Arizona""</value>","<value>6A-7P, 2/HR</value>",<value>$10.00 </value>,,,
KFPW,"9MR9+P65 Fort Smith, Arkansas",35.3917625,-94.3318906,"State: AR<br>Market City: Fort Smith<br>Frequency: 1230 AM<br>96.7 FM<br>Format: News Talk<br>Tower: 9MR9+P65 Fort Smith, Arkansas<br>Slogan: ""The Marshal""<br>Avails: 6am - 7pm <br>2/hr<br>Spot Rate: $5.00 ",<value>AR</value>,<value>Fort Smith</value>,"<value>1230 AM
96.7 FM</value>",<value>News Talk</value>,"<value>9MR9+P65 Fort Smith, Arkansas</value>","<value>""The Marshal""</value>","<value>6am - 7pm 
2/hr</value>",<value>$5.00 </value>,,,
KFTX,"P9RX+H26 Tierra Grande, Texas",27.7414125,-97.6024844,"State: TX<br>Market City: Corpus Christi<br>Frequency: 97.5 FM<br>Format: Country<br>Tower: P9RX+H26 Tierra Grande, Texas<br>Slogan: ""97.5 Real Country""<br>Avails: 6A-7P, 2/HR<br>Spot Rate: $14.00 ",<value>TX</value>,<value>Corpus Christi</value>,<value>97.5 FM</value>,<value>Country</value>,"<value>P9RX+H26 Tierra Grande, Texas</value>","<value>""97.5 Real Country""</value>","<value>6A-7P, 2/HR</value>",<value>$14.00 </value>,,,
KGMS,"6X2J+9G7 Tucson, Arizona",32.2009125,-111.0187031,"State: AZ<br>Market City: Tucson<br>Frequency: 940 AM<br>Format: Religious<br>Tower: 6X2J+9G7 Tucson, Arizona<br>Slogan: ""Good Message""<br>Avails: 6A-7P 2/HR.<br>Spot Rate: $30.00 ",<value>AZ</value>,<value>Tucson</value>,<value>940 AM</value>,<value>Religious</value>,"<value>6X2J+9G7 Tucson, Arizona</value>","<value>""Good Message""</value>",<value>6A-7P 2/HR.</value>,<value>$30.00 </value>,,,
KHYI (No AMs),"F6C6+2CX Gunter, Texas",33.4701125,-96.7888906,"State: TX<br>Market City: Dallas<br>Frequency: 95.3 FM<br>Format: Country<br>Tower: F6C6+2CX Gunter, Texas<br>Slogan: ""Y95 the Range""<br>Avails: 7P - 12A<br>Spot Rate: $21.00 ",<value>TX</value>,<value>Dallas</value>,<value>95.3 FM</value>,<value>Country</value>,"<value>F6C6+2CX Gunter, Texas</value>","<value>""Y95 the Range""</value>",<value>7P - 12A</value>,<value>$21.00 </value>,,,
KIOU,"H7F4+PRF Bossier City, Louisiana",32.5743125,-93.7429531,"State: LA<br>Market City: Schreveport<br>Frequency: 94.9 FM<br>1480 AM<br>Format: Religious<br>Tower: H7F4+PRF Bossier City, Louisiana<br>Slogan: ""Family Life Radio""<br>Avails: 6A-7P 2/HR.<br>Spot Rate: $30.00 ",<value>LA</value>,<value>Schreveport</value>,"<value>94.9 FM
1480 AM</value>",<value>Religious</value>,"<value>H7F4+PRF Bossier City, Louisiana</value>","<value>""Family Life Radio""</value>",<value>6A-7P 2/HR.</value>,<value>$30.00 </value>,,,
KKBZ-FM,"WGX7+C7G Humphreys Station, California",36.9485625,-119.4867969,"State: CA<br>Market City: Auberry<br>Frequency: 105.1<br>Format: Rock<br>Tower: WGX7+C7G Humphreys Station, California<br>Slogan: ""The Blaze""<br>Avails: ROS (6A - 12A)<br>Spot Rate: $25.00 ",<value>CA</value>,<value>Auberry</value>,<value>105.1</value>,<value>Rock</value>,"<value>WGX7+C7G Humphreys Station, California</value>","<value>""The Blaze""</value>",<value>ROS (6A - 12A)</value>,<value>$25.00 </value>,,,
KKIM,"3924+FM6 Albuquerque, New Mexico",35.0511625,-106.6433594,"State: NM<br>Market City: Albuquerque<br>Frequency: 1000 AM<br>Format: Religious<br>Tower: 3924+FM6 Albuquerque, New Mexico<br>Slogan: ""Radio That Changes the Way You Live""<br>Avails: 6A-7P 2/HR.<br>Spot Rate: $30.00 ",<value>NM</value>,<value>Albuquerque</value>,<value>1000 AM</value>,<value>Religious</value>,"<value>3924+FM6 Albuquerque, New Mexico</value>","<value>""Radio That Changes the Way You Live""</value>",<value>6A-7P 2/HR.</value>,<value>$30.00 </value>,,,
KKXX,"P8G9+PVQ Paradise, California",39.7268375,-121.6802656,"State: CA<br>Market City: Chico<br>Frequency: 930 AM<br>103.9 FM<br>Format: Christian<br>Tower: P8G9+PVQ Paradise, California<br>Slogan: ""KKXX Radio""<br>Avails: 6am - 7pm <br>2/hr<br>Spot Rate: $7.00 ",<value>CA</value>,<value>Chico</value>,"<value>930 AM
103.9 FM</value>",<value>Christian</value>,"<value>P8G9+PVQ Paradise, California</value>","<value>""KKXX Radio""</value>","<value>6am - 7pm 
2/hr</value>",<value>$7.00 </value>,,,
KLCJ,"2W38+825 Hacketts Corner, Louisiana",30.0032625,-93.0848906,"State: LA<br>Market City: Lake Charles<br>Frequency: 104.1 FM<br>Format: Oldies<br>Tower: 2W38+825 Hacketts Corner, Louisiana<br>Slogan: ""The Game (KLWB)""<br>Avails: 6A-7P<br>Spot Rate: $15.00 ",<value>LA</value>,<value>Lake Charles</value>,<value>104.1 FM</value>,<value>Oldies</value>,"<value>2W38+825 Hacketts Corner, Louisiana</value>","<value>""The Game (KLWB)""</value>",<value>6A-7P</value>,<value>$15.00 </value>,,,
KLIL,"22X3+79X Moreauville, Louisiana",31.0482375,-91.9965156,"State: LA<br>Market City: Moreauville<br>Frequency: 92.1 FM<br>Format: Classic Rock<br>Tower: 22X3+79X Moreauville, Louisiana<br>Slogan: ""Cenla's Best Music""<br>Avails: 6am - 7pm<br>Spot Rate: $6 ",<value>LA</value>,<value>Moreauville</value>,<value>92.1 FM</value>,<value>Classic Rock</value>,"<value>22X3+79X Moreauville, Louisiana</value>","<value>""Cenla's Best Music""</value>",<value>6am - 7pm</value>,<value>$6 </value>,,,
KLNG,"635V+467 Council Bluffs, Iowa",41.2077875,-95.9069531,"State: NE<br>Market City: Omaha<br>Frequency: 101.5 FM<br>1560 AM<br>Format: Religious<br>Tower: 635V+467 Council Bluffs, Iowa<br>Slogan: ""Radio That Changes the Way You Live""<br>Avails: 2/hr<br>Spot Rate: $30 ",<value>NE</value>,<value>Omaha</value>,"<value>101.5 FM
1560 AM</value>",<value>Religious</value>,"<value>635V+467 Council Bluffs, Iowa</value>","<value>""Radio That Changes the Way You Live""</value>",<value>2/hr</value>,<value>$30 </value>,,,
KMVN,"8FPM+8QP Eagle River, Anchorage, AK",61.3358375,-149.5155469,"State: AK<br>Market City: Anchorage<br>Frequency: 105.7<br>Format: Hot AC<br>Tower: 8FPM+8QP Eagle River, Anchorage, AK<br>Slogan: ""Movin' 105.7""<br>Avails: 6A-8P 2/HR<br>Spot Rate: ROS 6A-7P: $25 8am-9am: $30",<value>AK</value>,<value>Anchorage</value>,<value>105.7</value>,<value>Hot AC</value>,"<value>8FPM+8QP Eagle River, Anchorage, AK</value>","<value>""Movin' 105.7""</value>",<value>6A-8P 2/HR</value>,<value>ROS 6A-7P: $25 8am-9am: $30</value>,,,
KMWX,"7CG4+J82 Potosi, Texas",32.2765125,-99.5942344,"State: TX<br>Market City: Abilene<br>Frequency: 92.5<br>Format: Pop<br>Tower: 7CG4+J82 Potosi, Texas<br>Slogan: ""Mix 92.5""<br>Avails: 6A-7P 2HR<br>Spot Rate: $17 ",<value>TX</value>,<value>Abilene</value>,<value>92.5</value>,<value>Pop</value>,"<value>7CG4+J82 Potosi, Texas</value>","<value>""Mix 92.5""</value>",<value>6A-7P 2HR</value>,<value>$17 </value>,,,
KMZK,"H2JQ+CPP Atchee, De Beque, CO",39.3344233,-108.2150816,"State: CO<br>Market City: Clifton<br>Frequency: 106.9 FM<br>Format: New Rock Alt<br>Tower: H2JQ+CPP Atchee, De Beque, CO<br>Slogan: ""X106.9""<br>Avails: 6A-7P 2/HR<br>Spot Rate: $25 ",<value>CO</value>,<value>Clifton</value>,<value>106.9 FM</value>,<value>New Rock Alt</value>,"<value>H2JQ+CPP Atchee, De Beque, CO</value>","<value>""X106.9""</value>",<value>6A-7P 2/HR</value>,<value>$25 </value>,,,
KNNR,"H69X+P7R Sun Valley, Nevada",39.5693625,-119.7518594,"State: NV<br>Market City: Reno<br>Frequency: 1400 AM<br>Format: News Talk<br>Tower: H69X+P7R Sun Valley, Nevada<br>Slogan: ""NEWS TALK KNNR""<br>Avails: 6a - 7p 2/hr<br>Spot Rate: $5 ",<value>NV</value>,<value>Reno</value>,<value>1400 AM</value>,<value>News Talk</value>,"<value>H69X+P7R Sun Valley, Nevada</value>","<value>""NEWS TALK KNNR""</value>",<value>6a - 7p 2/hr</value>,<value>$5 </value>,,,
KOGM,"82RP+XR9 Carencro, Louisiana",30.3424125,-91.9628906,"State: LA<br>Market City: Opelousas<br>Frequency: 107.1 FM<br>Format: Country<br>Tower: 82RP+XR9 Carencro, Louisiana<br>Slogan: ""Mustang 107.1""<br>Avails: 6A-7P<br>Spot Rate: $17 ",<value>LA</value>,<value>Opelousas</value>,<value>107.1 FM</value>,<value>Country</value>,"<value>82RP+XR9 Carencro, Louisiana</value>","<value>""Mustang 107.1""</value>",<value>6A-7P</value>,<value>$17 </value>,,,
KOKL,"J25H+F4M Okmulgee, Oklahoma",35.6087125,-95.9722031,"State: OK<br>Market City: Okmulgee/Tulsa<br>Frequency: 1240 AM<br>106.3 FM<br>Format: Classic Rock<br>Tower: J25H+F4M Okmulgee, Oklahoma<br>Slogan: ""1240 The Brew""<br>Avails: 6am - 7pm<br>Spot Rate: $8.25 ",<value>OK</value>,<value>Okmulgee/Tulsa</value>,"<value>1240 AM
106.3 FM</value>",<value>Classic Rock</value>,"<value>J25H+F4M Okmulgee, Oklahoma</value>","<value>""1240 The Brew""</value>",<value>6am - 7pm</value>,<value>$8.25 </value>,,,
KOMX,"H2HW+2W9 Pampa, Texas",35.5775375,-100.9526406,"State: TX<br>Market City: Pampa<br>Frequency: 100.3 FM<br>Format: Country<br>Tower: H2HW+2W9 Pampa, Texas<br>Slogan: ""FM 100.3""<br>Avails: 2/hr<br>Spot Rate: $6.75 ",<value>TX</value>,<value>Pampa</value>,<value>100.3 FM</value>,<value>Country</value>,"<value>H2HW+2W9 Pampa, Texas</value>","<value>""FM 100.3""</value>",<value>2/hr</value>,<value>$6.75 </value>,,,
KPYN,"3RM8+5R7 Atlanta, Texas",33.0829125,-94.1829531,"State: TX<br>Market City: Atlanta<br>Frequency: 900 AM<br>95.5 FM<br>Format: Religious<br>Tower: 3RM8+5R7 Atlanta, Texas<br>Slogan: ""Today's Christian Talk""<br>Avails: 2/hr<br>Spot Rate: $9 ",<value>TX</value>,<value>Atlanta</value>,"<value>900 AM
95.5 FM</value>",<value>Religious</value>,"<value>3RM8+5R7 Atlanta, Texas</value>","<value>""Today's Christian Talk""</value>",<value>2/hr</value>,<value>$9 </value>,,,
KQHK,"58C7+QWH McCook, Nebraska",40.1719375,-100.6851406,"State: NE<br>Market City: McCook<br>Frequency: 103.9<br>Format: Classic Rock<br>Tower: 58C7+QWH McCook, Nebraska<br>Slogan: ""103.9 The Hawk""<br>Avails: 2/hr<br>Spot Rate: $7 ",<value>NE</value>,<value>McCook</value>,<value>103.9</value>,<value>Classic Rock</value>,"<value>58C7+QWH McCook, Nebraska</value>","<value>""103.9 The Hawk""</value>",<value>2/hr</value>,<value>$7 </value>,,,
KQLH,"2XHP+VMR Yucaipa, California",34.0297375,-117.0133594,"State: CA<br>Market City: Yucaipa<br>Frequency: 92.5<br>Format: Oldies<br>Tower: 2XHP+VMR Yucaipa, California<br>Slogan: ""The Music of Main Street""<br>Avails: 6A-7P 2/Hour<br>Spot Rate: $15 ",<value>CA</value>,<value>Yucaipa</value>,<value>92.5</value>,<value>Oldies</value>,"<value>2XHP+VMR Yucaipa, California</value>","<value>""The Music of Main Street""</value>",<value>6A-7P 2/Hour</value>,<value>$15 </value>,,,
KQSP (ROS!!!),"RC4V+V4G Chanhassen, Minnesota",44.8071875,-93.5571719,"State: MN<br>Market City: Shakopee<br>Frequency: 1530 AM<br>Format: Sports Talk<br>Tower: RC4V+V4G Chanhassen, Minnesota<br>Slogan: ""KQSP Sport Talk Radio""<br>Avails: 10A - 2 P<br>Spot Rate: $5 ",<value>MN</value>,<value>Shakopee</value>,<value>1530 AM</value>,<value>Sports Talk</value>,"<value>RC4V+V4G Chanhassen, Minnesota</value>","<value>""KQSP Sport Talk Radio""</value>",<value>10A - 2 P</value>,<value>$5 </value>,,,
KSBV,"CXWQ+HM2 Salida, Colorado",38.4463875,-106.0108594,"State: CO<br>Market City: Salida<br>Frequency: 93.7 FM<br>Format: Classic Rock<br>Tower: CXWQ+HM2 Salida, Colorado<br>Slogan: ""The River Rat""<br>Avails: 6A-7P Unlimited<br>Spot Rate: $15 ",<value>CO</value>,<value>Salida</value>,<value>93.7 FM</value>,<value>Classic Rock</value>,"<value>CXWQ+HM2 Salida, Colorado</value>","<value>""The River Rat""</value>",<value>6A-7P Unlimited</value>,<value>$15 </value>,,,
KSEQ-FM,"J3P4+6P4 Hartland, California",36.6355125,-118.9431719,"State: CA<br>Market City: Visalia<br>Frequency: 97.1<br>Format: Top-40<br>Tower: J3P4+6P4 Hartland, California<br>Slogan: ""Q97.1 All the Hits""<br>Avails: 6A-7P 2/HR.<br>Spot Rate: $45 ",<value>CA</value>,<value>Visalia</value>,<value>97.1</value>,<value>Top-40</value>,"<value>J3P4+6P4 Hartland, California</value>","<value>""Q97.1 All the Hits""</value>",<value>6A-7P 2/HR.</value>,<value>$45 </value>,,,
